market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,ml_predicted_winner,ml_predicted_winner_p,matches_ml_predicted_winner,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,cold_start_eligible,eligible,eligibility_reason
moneyline,Freedom 250,2026-06-14,00e8d4b961a65d21,Bo Nickal,moneyline,-305.0,0.7220792588780237,0.7654616,0.0433823647906469,1,Bo Nickal,0.7654616,True,6.0,False,,Bo Nickal:6 | Kyle Daukaus:8,True,True,eligible
moneyline,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Steve Garcia,moneyline,120.0,0.4365079365079364,0.4877237,0.0512157716448345,0,Diego Lopes,0.5065041,False,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,True,eligible
moneyline,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,moneyline,-410.0,0.771505376344086,0.8229615,0.0514561328836666,1,Josh Hokit,0.8229615,True,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,True,eligible
moneyline,Freedom 250,2026-06-14,5727d5be8c373346,Ciryl Gane,moneyline,-112.0,0.5043297540699688,0.647314,0.1429842579806598,1,Ciryl Gane,0.647314,True,12.0,False,,Ciryl Gane:12 | Alex Pereira:12,True,True,eligible
moneyline,Freedom 250,2026-06-14,60de0423ae6ed097,Sean O'Malley,moneyline,-440.0,0.7819063004846527,0.86872584,0.0868195357923553,1,Sean O'Malley,0.86872584,True,10.0,False,,Aiemann Zahabi:10 | Sean O'Malley:14,True,True,eligible
moneyline,Freedom 250,2026-06-14,7208e40818401e88,Ilia Topuria,moneyline,-470.0,0.7913616398243045,0.8656716,0.0743099352451229,0,Ilia Topuria,0.8656716,True,9.0,False,,Ilia Topuria:9 | Justin Gaethje:15,True,True,eligible
moneyline,Vegas 119,2026-06-20,17d31249c9ab18af,Andre Lima,moneyline,-625.0,0.827123695976155,0.8843174576759338,0.0571937616997788,0,Andre Lima,0.8843174576759338,True,4.0,False,,Kevin Borjas:5 | Andre Lima:4,True,True,eligible
moneyline,Vegas 119,2026-06-20,33afdd7ad43a2756,Kyoji Horiguchi,moneyline,130.0,0.4170073589533933,0.4502317309379577,0.0332243719845644,0,Manel Kape,0.532609224319458,False,10.0,False,,Manel Kape:10 | Kyoji Horiguchi:10,True,True,eligible
moneyline,Vegas 119,2026-06-20,3b4803afa824fea3,Mitch Raposo,moneyline,140.0,0.4003612281757977,0.5337233543395996,0.1333621261638019,1,Mitch Raposo,0.5337233543395996,True,3.0,False,,Mitch Raposo:3 | Allan Nascimento:5,True,True,eligible
moneyline,Vegas 119,2026-06-20,571a3eabff5c7ba7,Vinicius Oliveira,moneyline,-290.0,0.7135512302607419,0.755476713180542,0.0419254829198001,1,Vinicius Oliveira,0.755476713180542,True,5.0,False,,Vinicius Oliveira:5 | Andre Fili:25,True,True,eligible
